Location,Language,Post,Name,Skills,Disability_Inclusive,Perks
Mumbai,English,Software Developer,TechSolutions Ltd,"Java,Python,HTML,CSS,JavaScript",Musculoskeletal,"Extended deadlines,Supportive colleagues"
Delhi,Hindi,Marketing Coordinator,MediaCrafters Pvt Ltd,"Social Media Management,Content Creation,Marketing Strategy",Sensory,"Visual aids, Screen readers,Mentoring"
Bangalore,English,Customer Support Representative,SupportPros India,"Communication Skills,Problem Solving,Customer Service",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Chennai,English,Data Scientist,DataInsights Solutions,"Machine Learning,Python,R,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Supportive colleagues"
Hyderabad,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Kolkata,Hindi,Sales Executive,SalesConnect Solutions,"Business Development,Client Relationship,Communication",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,HR Generalist,HRGenius Services,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Mentoring"
Ahmedabad,English,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids, Real-time captioning,Supportive colleagues"
Jaipur,Hindi,Network Administrator,NetworkPros India,"Networking,Security,Troubleshooting",Developmental,"Sign language interpreters,Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,English,Content Writer,ContentCrafters Media,"Creative Writing,Blogging,SEO",Non-visible,"Extended deadlines,Supportive colleagues"
Hyderabad,English,Web Developer,CodeCrafters Solutions,"HTML,CSS,JavaScript,React",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Kolkata,Hindi,Data Entry Operator,DataEntryNow Services,"Data Entry,Typing Skills,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Marketing Manager,MarketBoost Solutions,"Marketing Strategy,Social Media Management,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Delhi,Hindi,IT Support Specialist,SwiftTech Support,"Troubleshooting,Hardware Maintenance,Software Installation",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Logo Design",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Chennai,Hindi,Cashier,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills,Attention to Detail",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Delivery Driver,SwiftDeliveries Logistics,"Driving License,Route Planning,Time Management",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Ahmedabad,English,Content Writer,ContentMinds Media,"Creative Writing,Blogging,SEO",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Jaipur,Hindi,Network Administrator,SecureNet Solutions,"Networking,Security,Troubleshooting",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Lucknow,English,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester,QualityAssure Solutions,"Manual Testing,Automated Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Translator,GlobalConnect Language Services,"Language Translation,Interpretation",Sensory (Hearing),"Sign language interpreters,Real-time captioning,Mentoring"
Chennai,Hindi,Interior Designer,SpaceDesign Interiors,"Space Planning,Color Theory,Furniture Selection",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Hyderabad,English,Software Developer,ByteCraft Solutions,"Java,Python,C++,SQL",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Kolkata,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Pune,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,HR Generalist,HRConnect Solutions,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Chennai,Hindi,Network Administrator,NetConnect Solutions,"Networking,Security,Troubleshooting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Bangalore,English,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Jaipur,Hindi,Sales Executive,SalesHub Connect,"Business Development,Client Relationship,Communication",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,English,Web Developer,WebWizards Solutions,"HTML,CSS,JavaScript,React",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,Hindi,Data Entry Operator,DataSwift Services,"Data Entry,Typing Skills,Attention to Detail",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Mumbai,English,Marketing Manager,MarketBoost Solutions,"Marketing Strategy,Social Media Management,Data Analysis",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Specialist,TechSupport Now,"Troubleshooting,Hardware Maintenance,Software Installation",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Chennai,English,Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Logo Design",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Cashier,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Delivery Driver,SwiftDeliveries Logistics,"Driving License,Route Planning,Time Management",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Ahmedabad,Hindi,Content Writer,ContentMinds Media,"Creative Writing,Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Network Administrator,SecureNet Solutions,"Networking,Security,Troubleshooting",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Lucknow,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester,QualityAssure Solutions,"Manual Testing,Automated Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Bangalore,English,Translator,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Interior Designer,SpaceDesign Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,English,Software Developer,ByteCraft Solutions,"Java,Python,C++,SQL",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Kolkata,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Pune,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,HR Generalist,HRConnect Solutions,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Chennai,Hindi,Network Administrator,NetConnect Solutions,"Networking,Security,Troubleshooting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Bangalore,English,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Jaipur,Hindi,Sales Executive,SalesHub Connect,"Business Development,Client Relationship,Communication",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,English,Web Developer,WebWizards Solutions,"HTML,CSS,JavaScript,React",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,Hindi,Data Entry Operator,DataSwift Services,"Data Entry,Typing Skills,Attention to Detail",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Mumbai,English,Marketing Manager,MarketBoost Solutions,"Marketing Strategy,Social Media Management,Data Analysis",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Specialist,TechSupport Now,"Troubleshooting,Hardware Maintenance,Software Installation",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Chennai,English,Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Logo Design",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Cashier,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Delivery Driver,SwiftDeliveries Logistics,"Driving License,Route Planning,Time Management",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Ahmedabad,Hindi,Content Writer,ContentMinds Media,"Creative Writing,Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Network Administrator,SecureNet Solutions,"Networking,Security,Troubleshooting",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Lucknow,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester,QualityAssure Solutions,"Manual Testing,Automated Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Bangalore,English,Translator,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Interior Designer,SpaceDesign Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Web Developer,CodeCrafters Solutions,"HTML,CSS,JavaScript",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Kolkata,Hindi,Data Entry Clerk,DataEntryNow Services,"Data Entry,Typing Skills",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Marketing Assistant,MarketBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Technician,SwiftTech Support,"Troubleshooting,Software Installation",Sensory,"Hearing aids,Supportive colleagues"
Mumbai,English,Junior Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Sensory,"Vision aids,Supportive colleagues"
Chennai,Hindi,Store Clerk,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Delivery Assistant,SwiftDeliveries Logistics,"Route Planning,Time Management",Sensory,"Hearing aids,Supportive colleagues"
Ahmedabad,Hindi,Content Writer Assistant,ContentMinds Media,"Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Junior Network Administrator,SecureNet Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues"
Lucknow,Hindi,Sales Associate,SalesPro Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester Trainee,QualityAssure Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Fitness Instructor Assistant,FitLife Fitness,"Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Bangalore,English,Language Interpreter Trainee,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Interior Design Assistant,SpaceDesign Interiors,"Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Hindi,Data Entry Assistant,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Pune,English,Marketing Intern,MarketBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Intern,TechSupport Now,"Troubleshooting,Software Installation",Sensory,"Vision aids,Supportive colleagues"
Chennai,English,Graphic Design Intern,DesignCraft Creations,"Adobe Creative Suite,Typography",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Store Assistant,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Delivery Driver Assistant,SwiftDeliveries Logistics,"Route Planning,Time Management",Sensory,"Hearing aids,Supportive colleagues"
Ahmedabad,Hindi,Content Writer Intern,ContentMinds Media,"Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Junior Network Technician,SecureNet Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues"
Lucknow,Hindi,Sales Assistant Trainee,SalesPro Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester Assistant,QualityAssure Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Junior Fitness Instructor,FitLife Fitness,"Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Bangalore,English,Language Interpreter Assistant,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Junior Interior Designer,SpaceDesign Interiors,"Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Software Engineer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Hindi,Data Entry Trainee,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Pune,English,Marketing Trainee,MarketBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Trainee,TechSupport Now,"Troubleshooting,Software Installation",Sensory,"Vision aids,Supportive colleagues"
Chennai,English,Graphic Design Trainee,DesignCraft Creations,"Adobe Creative Suite,Typography",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Store Trainee,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Delivery Assistant Trainee,SwiftDeliveries Logistics,"Route Planning,Time Management",Sensory,"Hearing aids,Supportive colleagues"
Ahmedabad,Hindi,Content Writer Trainee,ContentMinds Media,"Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Junior Network Administrator,SecureNet Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues"
Lucknow,Hindi,Sales Associate Trainee,SalesPro Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester Trainee,QualityAssure Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Fitness Instructor Assistant,FitLife Fitness,"Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Bangalore,English,Language Interpreter Trainee,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Interior Design Assistant,SpaceDesign Interiors,"Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Hindi,Data Entry Assistant,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Pune,English,Marketing Intern,MarketBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Intern,TechSupport Now,"Troubleshooting,Software Installation",Sensory,"Vision aids,Supportive colleagues"
Chennai,English,Graphic Design Intern,DesignCraft Creations,"Adobe Creative Suite,Typography",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Store Assistant,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Delivery Driver Assistant,SwiftDeliveries Logistics,"Route Planning,Time Management",Sensory,"Hearing aids,Supportive colleagues"
Ahmedabad,Hindi,Content Writer Intern,ContentMinds Media,"Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Junior Network Technician,SecureNet Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues"
Lucknow,Hindi,Sales Assistant Trainee,SalesPro Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester Assistant,QualityAssure Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Junior Fitness Instructor,FitLife Fitness,"Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Bangalore,English,Language Interpreter Assistant,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Junior Interior Designer,SpaceDesign Interiors,"Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Software Engineer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Hindi,Data Entry Trainee,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Pune,English,Marketing Trainee,MarketBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Trainee,TechSupport Now,"Troubleshooting,Software Installation",Sensory,"Vision aids,Supportive colleagues"
Chennai,English,Graphic Design Trainee,DesignCraft Creations,"Adobe Creative Suite,Typography",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Store Trainee,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Delivery Assistant Trainee,SwiftDeliveries Logistics,"Route Planning,Time Management",Sensory,"Hearing aids,Supportive colleagues"
Ahmedabad,Hindi,Content Writer Trainee,ContentMinds Media,"Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Junior Network Administrator,SecureNet Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues"
Lucknow,Hindi,Sales Associate Trainee,SalesPro Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Data Analyst,DataInsights Solutions,"Data Analysis,Excel,SQL",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Kolkata,Hindi,Office Assistant,OfficeSupport Services,"Administrative Tasks,Communication Skills",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Social Media Manager,SocialBuzz Connect,"Social Media Strategy,Content Creation,Marketing",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,Desktop Support Technician,DesktopPros Services,"Hardware Maintenance,Software Installation,Troubleshooting",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Mumbai,English,Junior UX/UI Designer,DesignXperience Creations,"User Experience Design,User Interface Design,Prototyping",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Chennai,Hindi,Telemarketing Executive,ConnectPros Marketing,"Sales,Communication Skills,Customer Service",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Pune,English,Junior Accountant,NumberGenius Finance,"Bookkeeping,Financial Reporting,Excel",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Ahmedabad,Hindi,Content Moderator,OnlineSafe Media,"Content Moderation,Attention to Detail",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Network Support Specialist,NetSupport Solutions,"Network Troubleshooting,Security,Hardware Installation",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,Hindi,Junior Copywriter,WordCraft Media,"Copywriting,Content Creation,Editing",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Quality Assurance Tester,TestMasters Solutions,"Software Testing,Defect Tracking,Automated Testing",Sensory,"Vision aids,Real-time captioning,Supportive colleagues"
Delhi,Hindi,Receptionist,FrontDesk Services,"Front Office Management,Communication Skills",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bangalore,English,Junior Web Designer,WebCraft Creations,"HTML,CSS,Web Design",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Data Entry Operator,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Pune,English,Market Research Assistant,MarketInsights Solutions,"Market Research,Data Analysis",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Technical Support Representative,TechSupport Connect,"Customer Service,Troubleshooting,Communication Skills",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Junior Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Visual Design",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Hindi,Sales Coordinator,SalesPro Connect,"Sales,Client Relationship,Communication",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Pune,English,HR Assistant,HRSupport Services,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,Hindi,Finance Assistant,FinanceWise Advisors,"Financial Analysis,Bookkeeping,Excel",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Jaipur,English,IT Technician,ITPros Solutions,"Computer Hardware,Software Installation,Troubleshooting",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,Hindi,Content Writer,ContentMinds Media,"Creative Writing,Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,English,Software Developer,CodeCraft Solutions,"Java,Python,C++,SQL",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Bangalore,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Chennai,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Sensory,"Hearing aids,Mentoring,Supportive colleagues"
Pune,Hindi,Sales Executive,SalesConnect Solutions,"Business Development,Client Relationship,Communication",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,English,HR Generalist,HRGenius Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Flexible schedule,Supportive colleagues"
Kolkata,Hindi,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Ahmedabad,English,Network Administrator,NetworkPros India,"Networking,Security,Troubleshooting",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Jaipur,Hindi,Content Writer,ContentCrafters Media,"Creative Writing,Blogging,SEO",Sensory,"Hearing aids,Mentoring,Supportive colleagues"
Lucknow,English,Junior Web Developer,WebWizards Solutions,"HTML,CSS,JavaScript,React",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,Hindi,Data Entry Operator,DataEntryNow Services,"Data Entry,Typing Skills,Attention to Detail",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Delhi,English,Marketing Manager,MarketBoost Solutions,"Marketing Strategy,Social Media Management,Data Analysis",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Bangalore,Hindi,IT Support Specialist,SwiftTech Support,"Troubleshooting,Hardware Maintenance,Software Installation",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Chennai,English,Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Logo Design",Sensory,"Hearing aids,Mentoring,Supportive colleagues"
Pune,Hindi,Cashier,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills,Attention to Detail",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Ahmedabad,English,Delivery Driver,SwiftDeliveries Logistics,"Driving License,Route Planning,Time Management",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Jaipur,Hindi,Content Writer,ContentMinds Media,"Creative Writing,Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Lucknow,English,Network Administrator,SecureNet Solutions,"Networking,Security,Troubleshooting",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Mumbai,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,English,Software Tester,QualityAssure Solutions,"Manual Testing,Automated Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
