Location,Language,Post,Name,Skills,Disability_Inclusive,Perks
Bangalore,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Chennai,English,Translator,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Hyderabad,Hindi,Interior Designer,SpaceDesign Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Software Developer,ByteCraft Solutions,"Java,Python,C++,SQL",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Kolkata,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Mumbai,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,HR Generalist,HRConnect Solutions,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Chennai,Hindi,Network Administrator,NetConnect Solutions,"Networking,Security,Troubleshooting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Mumbai,English,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Jaipur,Hindi,Sales Executive,SalesHub Connect,"Business Development,Client Relationship,Communication",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,English,Web Developer,WebWizards Solutions,"HTML,CSS,JavaScript,React",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,Hindi,Data Entry Operator,DataSwift Services,"Data Entry,Typing Skills,Attention to Detail",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Mumbai,English,Marketing Manager,MarketBoost Solutions,"Marketing Strategy,Social Media Management,Data Analysis",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Delhi,Hindi,IT Support Specialist,TechSupport Now,"Troubleshooting,Hardware Maintenance,Software Installation",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Chennai,English,Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Logo Design",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,Hindi,Cashier,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Delivery Driver,SwiftDeliveries Logistics,"Driving License,Route Planning,Time Management",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Ahmedabad,Hindi,Content Writer,ContentMinds Media,"Creative Writing,Blogging,SEO",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,English,Network Administrator,SecureNet Solutions,"Networking,Security,Troubleshooting",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Lucknow,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Software Tester,QualityAssure Solutions,"Manual Testing,Automated Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Bangalore,English,Translator,GlobalConnect Language Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Chennai,Hindi,Interior Designer,SpaceDesign Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,English,Software Developer,ByteCraft Solutions,"Java,Python,C++,SQL",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Kolkata,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Pune,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Delhi,Hindi,HR Generalist,HRConnect Solutions,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids,Real-time captioning,Supportive colleagues"
Nagpur,Marathi,Junior Web Developer,WebWizards Solutions,"HTML,CSS,JavaScript",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Coimbatore,Tamil,Data Entry Operator,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Indore,Hindi,Marketing Coordinator,LocalBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Ranchi,Hindi,IT Support Specialist,TechHelp Services,"Troubleshooting,Software Installation",Sensory,"Vision aids,Supportive colleagues"
Durgapur,Bengali,Graphic Designer,ArtCraft Creations,"Adobe Creative Suite,Typography",Sensory,"Vision aids,Supportive colleagues"
Warangal,Telugu,Sales Executive,SalesHub Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Kochi,Malayalam,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Aurangabad,Marathi,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids,Supportive colleagues"
Tirunelveli,Tamil,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Gulbarga,Kannada,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bhopal,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Dhanbad,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Bilaspur,Hindi,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Salem,Tamil,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Tiruppur,Tamil,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Bhagalpur,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Mangalore,Kannada,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Kollam,Malayalam,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Davangere,Kannada,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Supportive colleagues"
Kozhikode,Malayalam,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Nanded,Marathi,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues"
Tirupati,Telugu,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Ratlam,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Guntur,Telugu,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Kurnool,Telugu,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Dindigul,Tamil,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Parbhani,Marathi,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Proddatur,Telugu,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Jhansi,Hindi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Madurai,Tamil,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Morbi,Gujarati,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Supportive colleagues"
Haldia,Bengali,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Bhuj,Gujarati,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues"
Alappuzha,Malayalam,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Gandhinagar,Gujarati,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bhavnagar,Gujarati,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Navsari,Gujarati,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Nadiad,Gujarati,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Junagadh,Gujarati,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Surendranagar,Gujarati,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Anand,Gujarati,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Palanpur,Gujarati,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mehsana,Gujarati,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Supportive colleagues"
Bharuch,Gujarati,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Palghar,Marathi,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues"
Solapur,Marathi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Amravati,Marathi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Ichalkaranji,Marathi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Parbhani,Marathi,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Latur,Marathi,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Nanded,Marathi,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Yavatmal,Marathi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Akola,Marathi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Nashik,Marathi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Kota,Hindi,Junior Web Developer,WebWizards Solutions,"HTML,CSS,JavaScript",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Vijayawada,Telugu,Data Entry Operator,DataSwift Services,"Data Entry,Typing Skills",Sensory,"Hearing aids,Supportive colleagues"
Rajkot,Gujarati,Marketing Coordinator,LocalBoost Solutions,"Social Media Management,Content Creation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Durg,Bengali,IT Support Specialist,TechHelp Services,"Troubleshooting,Software Installation",Sensory,"Vision aids,Supportive colleagues"
Bellary,Kannada,Graphic Designer,ArtCraft Creations,"Adobe Creative Suite,Typography",Sensory,"Vision aids,Supportive colleagues"
Tumkur,Kannada,Sales Executive,SalesHub Connect,"Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Gaya,Hindi,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Gulbarga,Kannada,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids,Supportive colleagues"
Tirunelveli,Tamil,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Kurnool,Telugu,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bilaspur,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Dhanbad,Hindi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Bongaigaon,Assamese,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Salem,Tamil,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Tiruppur,Tamil,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Bhagalpur,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Nagercoil,Tamil,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bikaner,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Haldia,Bengali,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Supportive colleagues"
Jhansi,Hindi,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Jalna,Marathi,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues"
Karimnagar,Telugu,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Ratlam,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Guntur,Telugu,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Kurnool,Telugu,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Dindigul,Tamil,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Parbhani,Marathi,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Proddatur,Telugu,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Jhansi,Hindi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Madurai,Tamil,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Morbi,Gujarati,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Supportive colleagues"
Haldia,Bengali,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Bhuj,Gujarati,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues"
Alappuzha,Malayalam,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Gandhinagar,Gujarati,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bhavnagar,Gujarati,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Navsari,Gujarati,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Nadiad,Gujarati,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Junagadh,Gujarati,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Surendranagar,Gujarati,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Anand,Gujarati,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Palanpur,Gujarati,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mehsana,Gujarati,HR Generalist,HRLink Services,"Employee Relations,Recruitment,HR Policies",Sensory,"Vision aids,Supportive colleagues"
Bharuch,Gujarati,Finance Analyst,FinExcel Advisors,"Financial Modeling,Excel,Accounting",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Palghar,Marathi,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues"
Solapur,Marathi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Amravati,Marathi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Ichalkaranji,Marathi,Personal Trainer,FitLife Fitness,"Fitness Training,Nutrition Counseling,Goal Setting",Sensory,"Hearing aids,Supportive colleagues"
Parbhani,Marathi,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Latur,Marathi,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Nanded,Marathi,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Vision aids,Supportive colleagues"
Yavatmal,Marathi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Hearing aids,Supportive colleagues"
Akola,Marathi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Nashik,Marathi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mumbai,English,Gardener,GreenThumb Landscapes,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Delhi,Hindi,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Hearing aids,Supportive colleagues"
Bangalore,English,Chef Assistant,CulinaryCraft,"Culinary Skills,Food Safety",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Chennai,Tamil,Cleaner,SparkleClean Services,"Cleaning,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,English,Security Guard,SecureGuard Services,"Security Procedures,Vigilance",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Bengali,Waiter/Waitress,DineDelight Restaurant,"Customer Service,Order Taking",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Pune,Marathi,Barista,CoffeeCraft Cafe,"Beverage Preparation,Customer Service",Sensory,"Hearing aids,Supportive colleagues"
Ahmedabad,Gujarati,Delivery Driver,SwiftDeliveries Logistics,"Driving,Time Management",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,Hindi,Gardener,FloralParadise Gardens,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Lucknow,Hindi,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Vision aids,Supportive colleagues"
Mumbai,English,Chef Assistant,CulinaryCraft,"Culinary Skills,Food Safety",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Delhi,Hindi,Cleaner,SparkleClean Services,"Cleaning,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Security Guard,SecureGuard Services,"Security Procedures,Vigilance",Sensory,"Hearing aids,Supportive colleagues"
Chennai,Tamil,Waiter/Waitress,DineDelight Restaurant,"Customer Service,Order Taking",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Hyderabad,English,Barista,CoffeeCraft Cafe,"Beverage Preparation,Customer Service",Sensory,"Vision aids,Supportive colleagues"
Kolkata,Bengali,Delivery Driver,SwiftDeliveries Logistics,"Driving,Time Management",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Pune,Marathi,Gardener,FloralParadise Gardens,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Ahmedabad,Gujarati,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Hearing aids,Supportive colleagues"
Jaipur,Hindi,Chef Assistant,CulinaryCraft,"Culinary Skills,Food Safety",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Lucknow,Hindi,Cleaner,SparkleClean Services,"Cleaning,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Security Guard,SecureGuard Services,"Security Procedures,Vigilance",Sensory,"Vision aids,Supportive colleagues"
Delhi,Hindi,Waiter/Waitress,DineDelight Restaurant,"Customer Service,Order Taking",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Bangalore,English,Barista,CoffeeCraft Cafe,"Beverage Preparation,Customer Service",Sensory,"Hearing aids,Supportive colleagues"
Chennai,Tamil,Delivery Driver,SwiftDeliveries Logistics,"Driving,Time Management",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Hyderabad,English,Gardener,FloralParadise Gardens,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Kolkata,Bengali,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Vision aids,Supportive colleagues"
Pune,Marathi,Chef Assistant,CulinaryCraft,"Culinary Skills,Food Safety",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Ahmedabad,Gujarati,Cleaner,SparkleClean Services,"Cleaning,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Jaipur,Hindi,Security Guard,SecureGuard Services,"Security Procedures,Vigilance",Sensory,"Hearing aids,Supportive colleagues"
Lucknow,Hindi,Waiter/Waitress,DineDelight Restaurant,"Customer Service,Order Taking",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Mumbai,English,Barista,CoffeeCraft Cafe,"Beverage Preparation,Customer Service",Sensory,"Vision aids,Supportive colleagues"
Delhi,Hindi,Delivery Driver,SwiftDeliveries Logistics,"Driving,Time Management",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Bangalore,English,Gardener,FloralParadise Gardens,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Chennai,Tamil,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Hearing aids,Supportive colleagues"
Hyderabad,English,Chef Assistant,CulinaryCraft,"Culinary Skills,Food Safety",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Kolkata,Bengali,Cleaner,SparkleClean Services,"Cleaning,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,Marathi,Security Guard,SecureGuard Services,"Security Procedures,Vigilance",Sensory,"Vision aids,Supportive colleagues"
Ahmedabad,Gujarati,Waiter/Waitress,DineDelight Restaurant,"Customer Service,Order Taking",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Jaipur,Hindi,Barista,CoffeeCraft Cafe,"Beverage Preparation,Customer Service",Sensory,"Hearing aids,Supportive colleagues"
Lucknow,Hindi,Delivery Driver,SwiftDeliveries Logistics,"Driving,Time Management",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Mumbai,English,Gardener,FloralParadise Gardens,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Delhi,Hindi,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Vision aids,Supportive colleagues"
Bangalore,English,Chef Assistant,CulinaryCraft,"Culinary Skills,Food Safety",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Chennai,Tamil,Cleaner,SparkleClean Services,"Cleaning,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Hyderabad,English,Security Guard,SecureGuard Services,"Security Procedures,Vigilance",Sensory,"Hearing aids,Supportive colleagues"
Kolkata,Bengali,Waiter/Waitress,DineDelight Restaurant,"Customer Service,Order Taking",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Pune,Marathi,Barista,CoffeeCraft Cafe,"Beverage Preparation,Customer Service",Sensory,"Vision aids,Supportive colleagues"
Ahmedabad,Gujarati,Delivery Driver,SwiftDeliveries Logistics,"Driving,Time Management",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Jaipur,Hindi,Gardener,FloralParadise Gardens,"Horticulture,Plant Care,Landscaping",Musculoskeletal,"Flexible schedule,Supportive colleagues"
Lucknow,Hindi,Customer Service Representative,ServiceSolutions,"Communication,Problem Solving",Sensory,"Hearing aids,Supportive colleagues"
